SP_0001	SPT_0001
SP_1465	SPT_0810
SP_1466	SPT_0809
SP_1467	SPT_0808
SP_1468	SPT_0807
SP_1469	SPT_0806
SP_1470	SPT_0805
SP_1471	SPT_0804
SP_1472	SPT_0803
SP_1473	SPT_0802
SP_1474	SPT_0801
SP_1475	SPT_0800
SP_1476	SPT_0799
SP_1478	SPT_0798
SP_1479	SPT_0797
SP_1482	SPT_0795
SP_1489	SPT_1426
SP_1490	
SP_1491	SPT_1428
SP_1492	SPT_1429
SP_1493	SPT_1430
SP_1494	SPT_1431
SP_1496	SPT_1432
SP_1498	SPT_1435
SP_1499	SPT_1436
SP_1500	SPT_1437
SP_1501	SPT_1438
SP_1502	SPT_1439
SP_1504	SPT_1440
SP_1505	SPT_1441
SP_1506	SPT_1442
SP_1507	SPT_1443
SP_1508	SPT_1444
SP_1509	SPT_1445
SP_1510	SPT_1446
SP_1511	SPT_1447
SP_1512	SPT_1448
SP_1513	SPT_1449
SP_1514	SPT_1450
SP_1516	SPT_1453
SP_1517	SPT_1455
SP_1518	SPT_1456
SP_1519	SPT_1457
SP_1520	SPT_1458
SP_1521	SPT_1459
SP_1522	SPT_1460
SP_1523	SPT_1461
SP_1524	SPT_1462
SP_1525	SPT_1463
SP_1529	SPT_1467
SP_1530	SPT_1468
SP_1531	SPT_1469
SP_1533	SPT_1471
SP_1534	SPT_1472
SP_1535	SPT_1473
SP_1536	SPT_1474
SP_1537	SPT_1475
SP_1538	SPT_1476
SP_1539	SPT_1477
SP_1540	SPT_1478
SP_1541	SPT_1479
SP_1542	SPT_1480
SP_1544	SPT_1482
SP_1545	SPT_1483
SP_1546	SPT_1485
SP_1547	SPT_1488
SP_1548	SPT_1490
SP_1549	SPT_1491
SP_1550	SPT_1492
SP_1551	SPT_1493
SP_1552	SPT_1494
SP_1553	SPT_1495
SP_1554	SPT_1496
SP_1555	SPT_1497
SP_1557	SPT_1498
SP_1558	SPT_1499
SP_1559	SPT_1500
SP_1560	SPT_1501
SP_1561	SPT_1502
SP_1563	SPT_1503
SP_1564	SPT_1504
SP_1565	SPT_1505
SP_1566	SPT_1506
SP_1567	SPT_1507
SP_1568	SPT_1508
SP_1569	SPT_1509
SP_1570	SPT_1510
SP_1571	SPT_1511
SP_1572	SPT_1512
SP_1573	SPT_1513
SP_1574	SPT_1514
SP_1575	SPT_1515
SP_1576	SPT_1516
SP_1577	SPT_1517
SP_1578	SPT_1519
SP_1580	SPT_1520
SP_1583	SPT_1522
SP_1584	SPT_1523
SP_1586	SPT_1524
SP_1587	SPT_1525
SP_1588	SPT_1526
SP_1589	SPT_1527
SP_1590	SPT_1528
SP_1591	SPT_1529
SP_1592	SPT_1530
SP_1596	SPT_1534
SP_1597	SPT_1535
SP_1598	SPT_1536
SP_1599	SPT_1537
SP_1600	SPT_1538
SP_1601	SPT_1541
SP_1602	SPT_1542
SP_1603	SPT_1543
SP_1604	SPT_1544
SP_1605	SPT_1545
SP_1606	SPT_1546
SP_1607	SPT_1547
SP_1608	SPT_1549
SP_1609	SPT_1550
SP_1610	SPT_1551
SP_1612	SPT_1553
SP_1616	SPT_1556
SP_1617	SPT_1557
SP_1619	SPT_1559
SP_1620	SPT_1560
SP_1621	SPT_1561
SP_1623	SPT_1562
SP_1624	SPT_1563
SP_1625	SPT_1564
SP_1626	SPT_1565
SP_1627	SPT_1566
SP_1630	SPT_1569
SP_1631	SPT_1570
SP_1632	SPT_1571
SP_1633	SPT_1572
SP_1634	SPT_1573
SP_1635	SPT_1574
SP_1636	SPT_1575
SP_1637	SPT_1576
SP_1638	SPT_1577
SP_1640	SPT_1579
SP_1641	SPT_1582
SP_1643	SPT_1583
SP_1644	SPT_1584
SP_1645	SPT_1585
SP_1646	SPT_1586
SP_1647	SPT_1587
SP_1648	SPT_1588
SP_1649	SPT_1589
SP_1650	SPT_1590
SP_1651	SPT_1591
SP_1652	SPT_1592
SP_1653	SPT_1593
SP_1654	SPT_1594
SP_1655	SPT_1595
SP_1656	SPT_1596
SP_1658	SPT_1597
SP_1659	SPT_1598
SP_1661	SPT_1600
SP_1662	SPT_1601
SP_1663	SPT_1602
SP_1664	SPT_1603
SP_1665	SPT_1604
SP_1666	SPT_1605
SP_1667	SPT_1606
SP_1668	SPT_1607
SP_1669	SPT_1608
SP_1670	SPT_1609
SP_1671	SPT_1610
SP_1672	SPT_1611
SP_1673	SPT_1612
SP_1674	SPT_1613
SP_1675	SPT_1614
SP_1676	SPT_1615
SP_1679	SPT_1617
SP_1680	SPT_1618
SP_1681	SPT_1619
SP_1682	SPT_1620
SP_1683	SPT_1621
SP_1684	SPT_1622
SP_1685	SPT_1623
SP_1686	SPT_1624
SP_1688	SPT_1626
SP_1689	SPT_1627
SP_1690	SPT_1628
SP_1691	SPT_1629
SP_1694	SPT_1631
SP_1697	SPT_1635
SP_1698	SPT_1636
SP_1699	SPT_1637
SP_1700	SPT_1638
SP_1701	SPT_1639
SP_1702	SPT_1640
SP_1703	SPT_1641
SP_1704	SPT_1642
SP_1705	SPT_1643
SP_1706	SPT_1644
SP_1707	SPT_1645
SP_1708	SPT_1646
SP_1709	SPT_1647
SP_1710	SPT_1648
SP_1711	SPT_1649
SP_1712	SPT_1650
SP_1713	SPT_1651
SP_1714	SPT_1652
SP_1715	SPT_1653
SP_1716	SPT_1655
SP_1717	SPT_1656
SP_1720	SPT_1658
SP_1721	SPT_1659
SP_1722	SPT_1660
SP_1724	SPT_1662
SP_1725	SPT_1663
SP_1726	SPT_1664
SP_1727	SPT_1665
SP_1729	SPT_1031
SP_1730	SPT_1668
SP_1731	SPT_1669
SP_1732	SPT_1670
SP_1733	SPT_1671
SP_1734	SPT_1672
SP_1735	SPT_1673
SP_1736	SPT_1674
SP_1737	SPT_1675
SP_1738	SPT_1676
SP_1739	SPT_1677
SP_1741	SPT_1678
SP_1742	SPT_1680
SP_1743	SPT_1681
SP_1744	SPT_1682
SP_1745	SPT_1683
SP_1746	SPT_1684
SP_1747	SPT_1685
SP_1748	SPT_1686
SP_1749	SPT_1687
SP_1750	SPT_1688
SP_1751	SPT_1689
SP_1752	SPT_1690
SP_1754	SPT_1693
SP_1774	SPT_1694
SP_1775	SPT_1695
SP_1776	SPT_1696
SP_1777	SPT_1697
SP_1778	SPT_1699
SP_1779	SPT_1701
SP_1780	SPT_1703
SP_1781	SPT_1704
SP_1782	SPT_1705
SP_1783	SPT_1710
SP_1784	SPT_1711
SP_1785	SPT_1712
SP_1786	SPT_1713
SP_1787	SPT_1714
SP_1789	SPT_1716
SP_1790	SPT_1717
SP_1795	SPT_1719
SP_1796	SPT_1720
SP_1797	SPT_1721
SP_1798	SPT_1722
SP_1799	SPT_1723
SP_1800	SPT_1724
SP_1801	SPT_1725
SP_1802	SPT_1726
SP_1803	SPT_1727
SP_1804	SPT_1728
SP_1805	SPT_1729
SP_1806	SPT_0671
SP_1807	SPT_1730
SP_1808	SPT_1731
SP_1809	SPT_1732
SP_1810	SPT_1733
SP_1811	SPT_1734
SP_1812	SPT_1735
SP_1813	SPT_1736
SP_1814	SPT_1737
SP_1815	SPT_1738
SP_1816	SPT_1739
SP_1817	SPT_1740
SP_1821	SPT_1742
SP_1823	SPT_1743
SP_1824	SPT_1744
SP_1825	SPT_1745
SP_1826	SPT_1746
SP_1827	SPT_1747
SP_1828	SPT_1748
SP_1830	SPT_1750
SP_1831	SPT_1751
SP_1833	SPT_1752
SP_1835	SPT_1753
SP_1837	SPT_1754
SP_1838	SPT_1755
SP_1839	SPT_1756
SP_1840	SPT_1757
SP_1841	SPT_1758
SP_1842	SPT_1759
SP_1844	SPT_1760
SP_1845	SPT_1761
SP_1847	SPT_1764
SP_1848	SPT_1765
SP_1849	SPT_1766
SP_1850	SPT_1767
SP_1851	SPT_1768
SP_1853	SPT_1770
SP_1854	SPT_1771
SP_1855	SPT_1772
SP_1856	SPT_1773
SP_1857	SPT_1774
SP_1858	SPT_1775
SP_1859	SPT_1776
SP_1860	SPT_1778
SP_1861	SPT_1779
SP_1862	SPT_1780
SP_1863	SPT_1781
SP_1864	SPT_1782
SP_1865	SPT_1783
SP_1868	SPT_1785
SP_1869	SPT_1786
SP_1870	SPT_1787
SP_1871	SPT_1788
SP_1872	SPT_1789
SP_1873	SPT_1790
SP_1874	SPT_1791
SP_1875	SPT_1792
SP_1876	SPT_1793
SP_1877	SPT_1794
SP_1878	SPT_1795
SP_1879	SPT_1796
SP_1880	SPT_1797
SP_1881	SPT_1798
SP_1882	SPT_1799
SP_1883	SPT_1800
SP_1884	SPT_1802
SP_1885	SPT_1803
SP_1887	SPT_1809
SP_1888	SPT_1810
SP_1889	SPT_1811
SP_1890	SPT_1812
SP_1893	SPT_1814
SP_1894	SPT_1815
SP_1895	SPT_1817
SP_1896	SPT_1818
SP_1897	SPT_1819
SP_1898	SPT_1821
SP_1899	SPT_1822
SP_1900	SPT_1823
SP_1901	SPT_1846
SP_1902	SPT_1847
SP_1903	SPT_1848
SP_1904	SPT_1849
SP_1906	SPT_1855
SP_1907	SPT_1856
SP_1908	SPT_1857
SP_1909	SPT_1858
SP_1910	SPT_1859
SP_1911	SPT_1860
SP_1912	SPT_1861
SP_1914	SPT_1864
SP_1915	SPT_1865
SP_1916	SPT_1866
SP_1917	SPT_1867
SP_1918	SPT_1868
SP_1919	SPT_1869
SP_1920	SPT_1870
SP_1922	SPT_1871
SP_1923	SPT_1872
SP_1924	SPT_1873
SP_1925	SPT_1874
SP_1926	SPT_1875
SP_1929	SPT_0776
SP_1930	SPT_1888
SP_1931	SPT_1889
SP_1932	SPT_1890
SP_1933	SPT_1891
SP_1934	SPT_1892
SP_1935	SPT_1893
SP_1936	SPT_1894
SP_1937	SPT_1895
SP_1938	SPT_1896
SP_1939	SPT_1897
SP_1940	SPT_1898
SP_1941	SPT_1899
SP_1942	SPT_1900
SP_1943	SPT_1901
SP_1944	SPT_1902
SP_1945	SPT_1903
SP_1946	SPT_1904
SP_1947	SPT_1905
SP_1956	SPT_1933
SP_1957	SPT_1934
SP_1958	SPT_1935
SP_1959	SPT_1936
SP_1960	SPT_1937
SP_1961	SPT_1938
SP_1963	SPT_1942
SP_1964	SPT_1943
SP_1965	SPT_1944
SP_1966	SPT_1945
SP_1967	SPT_1947
SP_1968	SPT_1948
SP_1969	SPT_1949
SP_1970	SPT_1950
SP_1971	SPT_1951
SP_1972	SPT_1952
SP_1973	SPT_1953
SP_1974	SPT_1954
SP_1975	SPT_1955
SP_1976	SPT_1956
SP_1978	SPT_1957
SP_1979	SPT_1958
SP_1980	SPT_1959
SP_1981	SPT_1960
SP_1982	SPT_1961
SP_1983	SPT_1962
SP_1984	SPT_1963
SP_1985	SPT_1964
SP_1986	SPT_1966
SP_1987	SPT_1967
SP_1988	SPT_1968
SP_1989	SPT_1969
SP_1990	SPT_1970
SP_1991	SPT_1971
SP_1992	SPT_1972
SP_1993	SPT_1973
SP_1994	SPT_1974
SP_1995	SPT_1975
SP_1996	SPT_1976
SP_1997	SPT_1977
SP_1998	SPT_1978
SP_1999	SPT_1980
SP_2000	SPT_1981
SP_2001	SPT_1982
SP_2002	SPT_1983
SP_2003	SPT_1984
SP_2004	SPT_1985
SP_2005	SPT_1986
SP_2007	SPT_2003
SP_2008	SPT_2004
SP_2009	SPT_2005
SP_2010	SPT_2006
SP_2011	SPT_2007
SP_2012	SPT_2008
SP_2013	SPT_2009
SP_2016	SPT_2013
SP_2017	SPT_2014
SP_2020	SPT_2016
SP_2021	SPT_2017
SP_2022	SPT_2018
SP_2023	SPT_2019
SP_2024	SPT_2020
SP_2026	SPT_2021
SP_2027	SPT_2022
SP_2028	SPT_2023
SP_2029	SPT_2024
SP_2031	SPT_2026
SP_2032	SPT_2027
SP_2033	SPT_2028
SP_2034	SPT_2029
SP_2035	SPT_2030
SP_2036	SPT_2031
SP_2037	SPT_2032
SP_2038	SPT_2033
SP_2039	SPT_2034
SP_2040	SPT_2035
SP_2041	SPT_2036
SP_2042	SPT_2037
SP_2043	SPT_2038
SP_2044	SPT_2039
SP_2045	SPT_2040
SP_2047	SPT_2042
SP_2048	SPT_2043
SP_2049	SPT_2044
SP_2050	SPT_2045
SP_2051	SPT_2046
SP_2052	SPT_2047
SP_2053	SPT_2048
SP_2054	SPT_2049
SP_2055	SPT_2050
SP_2056	SPT_2051
SP_2057	SPT_2052
SP_2058	SPT_2053
SP_2059	SPT_2054
SP_2060	SPT_2055
SP_2061	SPT_2056
SP_2062	SPT_2057
SP_2063	SPT_2058
SP_2064	SPT_2059
SP_2065	SPT_2060
SP_2066	SPT_2061
SP_2067	SPT_2062
SP_2068	SPT_2079
SP_2069	SPT_2080
SP_2070	SPT_2081
SP_2071	SPT_2082
SP_2072	SPT_2083
SP_2073	SPT_2084
SP_2075	SPT_2086
SP_2077	SPT_2088
SP_2078	SPT_2089
SP_2079	SPT_2090
SP_2081	SPT_2091
SP_2082	SPT_2092
SP_2083	SPT_2093
SP_2084	SPT_2094
SP_2085	SPT_2095
SP_2086	SPT_2096
SP_2087	SPT_2097
SP_2088	SPT_2098
SP_2091	SPT_2101
SP_2092	SPT_2102
SP_2094	SPT_2103
SP_2095	SPT_2104
SP_2096	SPT_2105
SP_2097	SPT_2106
SP_2098	SPT_2107
SP_2099	SPT_2108
SP_2100	SPT_2109
SP_2101	SPT_2110
SP_2102	SPT_2111
SP_2103	SPT_2112
SP_2104	SPT_2113
SP_2106	SPT_2114
SP_2107	SPT_2115
SP_2108	SPT_2116
SP_2109	SPT_2117
SP_2110	SPT_2118
SP_2111	SPT_2119
SP_2112	SPT_2120
SP_2113	SPT_2121
SP_2114	SPT_2122
SP_2115	SPT_2124
SP_2116	SPT_2125
SP_2117	SPT_2126
SP_2118	SPT_2127
SP_2119	SPT_2128
SP_2120	SPT_2129
SP_2121	SPT_2132
SP_2122	SPT_2133
SP_2124	SPT_2135
SP_2125	SPT_2136
SP_2126	SPT_2138
SP_2127	SPT_2139
SP_2128	SPT_2140
SP_2129	SPT_2141
SP_2130	SPT_2142
SP_2131	SPT_2143
SP_2132	SPT_2144
SP_2133	SPT_2145
SP_2134	SPT_2146
SP_2135	SPT_2147
SP_2136	SPT_2148
SP_2138	SPT_2152
SP_2139	SPT_2153
SP_2141	SPT_2154
SP_2142	SPT_2155
SP_2143	SPT_2156
SP_2144	SPT_2157
SP_2145	SPT_2158
SP_2146	SPT_2159
SP_2148	SPT_2160
SP_2150	SPT_2161
SP_2151	SPT_2162
SP_2152	SPT_2163
SP_2153	SPT_2164
SP_2156	SPT_2169
SP_2157	SPT_2170
SP_2158	SPT_2171
SP_2159	SPT_2172
SP_2160	SPT_2173
SP_2161	SPT_2174
SP_2162	SPT_2175
SP_2163	SPT_2176
SP_2164	SPT_2177
SP_2165	SPT_2178
SP_2166	SPT_2179
SP_2167	SPT_2180
SP_2168	SPT_2181
SP_2169	SPT_2182
SP_2170	SPT_2183
SP_2171	SPT_2184
SP_2172	SPT_2185
SP_2174	SPT_2189
SP_2175	SPT_2190
SP_2176	SPT_2191
SP_2177	SPT_2192
SP_2182	SPT_2196
SP_2183	SPT_2197
SP_2184	SPT_2199
SP_2185	SPT_2200
SP_2186	SPT_2201
SP_2187	SPT_2202
SP_2188	SPT_2203
SP_2189	SPT_2204
SP_2190	SPT_2208
SP_2191	SPT_2209
SP_2192	SPT_2210
SP_2193	SPT_2211
SP_2194	SPT_2213
SP_2195	SPT_2214
SP_2196	SPT_2215
SP_2197	SPT_2216
SP_2198	SPT_2217
SP_2199	SPT_2218
SP_2201	SPT_2219
SP_2202	SPT_2220
SP_2203	SPT_2221
SP_2204	SPT_2222
SP_2205	SPT_2223
SP_2206	SPT_2224
SP_2207	SPT_2225
SP_2208	SPT_2226
SP_2209	SPT_2227
SP_2210	SPT_2228
SP_2214	SPT_2232
SP_2215	SPT_2233
SP_2216	SPT_2234
SP_2217	SPT_2235
SP_2218	SPT_2236
SP_2219	SPT_2237
SP_2220	SPT_2238
SP_2221	SPT_2239
SP_2222	SPT_2240
SP_2223	SPT_2241
SP_2224	SPT_2242
SP_2225	SPT_2243
SP_2226	SPT_2244
SP_2227	SPT_2245
SP_2228	SPT_2246
SP_2229	SPT_2247
SP_2230	SPT_2248
SP_2231	SPT_2249
SP_2233	SPT_2251
SP_2234	SPT_2252
SP_2235	SPT_2255
SP_2236	SPT_2256
SP_2237	SPT_2257
SP_2238	SPT_2259
SP_2239	SPT_2260
SP_2240	SPT_2261
